internal|en

SYSTEM_CARGO_PROCESSED|Processed Cargo Hold

-Obonto Trades-
DIALOG_HABITAT_NEED_MG|Welcome {target/shipname}. Do you have processed magnesium for trade?
DIALOG_HABITAT_NEED_TI|Welcome {target/shipname}. Do you have processed titanium for trade?
DIALOG_HABITAT_NEED_NI|Welcome {target/shipname}. Do you have processed nickel for trade?
DIALOG_HABITAT_NEED_CU|Welcome {target/shipname}. Do you have processed copper for trade?
DIALOG_HABITAT_NEED_MG_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed magnesium. We'll pay you premium.
DIALOG_HABITAT_NEED_TI_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed titanium. We'll pay you premium.
DIALOG_HABITAT_NEED_NI_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed nickel. We'll pay you premium.
DIALOG_HABITAT_NEED_CU_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed copper. We'll pay you premium.
